"","pssmacTimes","DPCTimes","trigramTimes","psepssmTimes","k_separatedTimes","ABPSSMTimes","cspseTimes","EDPTimes","aatpTimes","FPSSMTimes","SCSHTimes","rpssmTimes","pssm_ccTimes","discreteCosinTimes","dwtTimes","disulfidTimes","dppssmTimes","DFMCATimes","GREYTimes","smoothedTimes","kideraTimes","MBMGACTimes","LPCTimes","PSSM400Times","PSSMBLOCKTimes","PSSMSDTimes","PSSMSEGTimes","somapssmTimes","svdpssmTimes"
"P35609",0.259999999999991,0.470000000000027,13.1600000000001,0.329999999999927,0.420000000001892,0.0500000000010914,0.31000000000131,0.450000000000728,0.450000000000728,0.0300000000024738,0.159999999999854,0.0300000000006548,0.430000000000291,0.069999999999709,0.069999999999709,0.0199999999986176,0.0799999999999272,0.799999999999272,0.170000000000073,0.0499999999992724,0.81000000000131,0.719999999999345,0.0400000000008731,0.0199999999986176,0.00999999999839929,0.0299999999988358,0.100000000000364,0.280000000000655,0.0199999999986176
"Q9UBF9",0.139999999999986,0.279999999999973,7.58999999999992,0.18999999999869,0.25,0.0300000000006548,0.169999999998254,0.25,0.25,0.00999999999839929,0.100000000002183,0.0200000000004366,0.229999999999563,0.0300000000006548,0.0100000000002183,0.0200000000004366,0.0499999999992724,0.360000000000582,0.0799999999999272,0.0100000000020373,0.459999999999127,0.489999999999782,0.0299999999988358,0.0200000000004366,0.0100000000020373,0.0300000000006548,0.0599999999994907,0.149999999999636,0.0200000000004366
"Q9Y561",0.25,0.439999999999941,12.72,0.350000000000364,0.409999999999854,0.0499999999992724,0.299999999999272,0.420000000000073,0.440000000000509,0.0400000000008731,0.169999999998254,0.0400000000008731,0.419999999998254,0.0499999999992724,0.0100000000002183,1.92000000000007,0.0599999999994907,0.859999999998763,0.190000000000509,0.0500000000029104,0.75,0.760000000000218,0.0300000000006548,0,0.0100000000020373,0.0299999999988358,0.0900000000001455,0.289999999999054,0.0200000000004366
"Q9NPI5",0.0699999999999363,0.129999999999995,3.42000000000007,0.0599999999994907,0.110000000000582,0.0200000000004366,0.069999999999709,0.110000000000582,0.110000000000582,0,0.0499999999992724,0,0.110000000000582,0.0100000000002183,0.0200000000004366,0.0200000000004366,0.0100000000002183,0.1299999999992,0.0400000000008731,0.0100000000020373,0.210000000000946,0.219999999999345,0.0299999999988358,0,0,0.0200000000004366,0.0300000000006548,0.0499999999992724,0.0200000000004366
"Q12959",0.25,0.480000000000018,14.28,0.350000000000364,0.450000000000728,0.0499999999992724,0.309999999997672,0.440000000000509,0.450000000000728,0.00999999999839929,0.170000000001892,0.0299999999988358,0.450000000000728,0.0599999999994907,0.0300000000006548,0.0299999999988358,0.0499999999992724,0.790000000000873,0.190000000000509,0.0499999999992724,0.779999999998836,0.930000000000291,0.0300000000006548,0.0200000000004366,0.0299999999988358,0.0399999999990541,0.1299999999992,0.280000000000655,0.00999999999839929
"P04626",0.279999999999973,0.67999999999995,18.3599999999999,0.449999999998909,0.599999999998545,0.0799999999999272,0.460000000002765,0.610000000000582,0.590000000000146,0.0400000000008731,0.25,0.0300000000006548,0.739999999997963,0.0900000000001455,0.0300000000006548,4.40999999999985,0.0799999999999272,1.55999999999949,0.340000000000146,0.069999999999709,1,1.13999999999942,0.0599999999994907,0.0199999999986176,0.0400000000008731,0.0500000000010914,0.139999999999418,0.390000000001237,0.0100000000002183
"P00533",0.299999999999955,0.639999999999986,18.1299999999999,0.529999999998836,0.590000000000146,0.069999999999709,0.420000000001892,0.590000000000146,0.630000000001019,0.0400000000008731,0.25,0.0499999999992724,0.590000000000146,0.0799999999999272,0.0300000000006548,4.57999999999993,0.0599999999994907,1.32999999999993,0.380000000001019,0.0600000000013097,0.959999999999127,1.13999999999942,0.0799999999999272,0.0200000000004366,0.0299999999988358,0.0400000000008731,0.130000000001019,0.369999999998981,0.0100000000002183
"Q15303",0.389999999999986,0.659999999999968,20.03,0.510000000000218,0.669999999998254,0.0799999999999272,0.5,0.639999999999418,0.639999999999418,0.00999999999839929,0.25,0.0500000000010914,0.669999999998254,0.100000000000364,0.0299999999988358,3.8700000000008,0.0599999999994907,1.56999999999971,0.329999999999927,0.0599999999976717,1.04000000000087,1.23999999999978,0.0599999999994907,0.0300000000006548,0.0400000000008731,0.0499999999992724,0.159999999999854,0.399999999999636,0.0299999999988358
"P27986",0.170000000000073,0.389999999999986,10.72,0.25,0.360000000000582,0.0500000000010914,0.229999999999563,0.360000000000582,0.340000000000146,0.0200000000004366,0.119999999998981,0.0200000000004366,0.360000000000582,0.0500000000010914,0.0299999999988358,0.0200000000004366,0.0500000000010914,0.590000000000146,0.140000000001237,0.0499999999992724,0.579999999999927,0.690000000000509,0.0500000000010914,0.0200000000004366,0.00999999999839929,0.0200000000004366,0.0799999999999272,0.239999999999782,0
"P21860",0.350000000000023,0.669999999999959,20.9300000000001,0.5,0.68999999999869,0.0799999999999272,0.529999999998836,0.680000000000291,0.680000000000291,0.0499999999992724,0.25,0.0500000000010914,0.639999999999418,0.0799999999999272,0.0300000000006548,4.44000000000051,0.119999999998981,1.73999999999978,0.350000000000364,0.0600000000013097,1.07999999999993,1.25,0.0599999999994907,0.0199999999986176,0.0400000000008731,0.0500000000010914,0.139999999999418,0.409999999999854,0.0300000000006548
"P27348",0.0600000000000591,0.129999999999995,3.77000000000021,0.0900000000001455,0.110000000000582,0.0200000000004366,0.0599999999976717,0.110000000000582,0.1200000000008,0,0.0600000000013097,0,0.110000000000582,0.0199999999986176,0.0200000000004366,0,0.0100000000002183,0.139999999999418,0.0499999999992724,0.0200000000004366,0.209999999999127,0.230000000001382,0.0100000000002183,0,0,0,0.0299999999988358,0.0799999999999272,0.0200000000004366
"P49407",0.100000000000023,0.210000000000036,6.23000000000002,0.159999999999854,0.219999999997526,0.0200000000004366,0.139999999999418,0.219999999999345,0.210000000000946,0.0200000000004366,0.0799999999981083,0.0100000000002183,0.18999999999869,0.0300000000006548,0.0200000000004366,0.00999999999839929,0.0100000000002183,0.25,0.0599999999994907,0.0299999999988358,0.329999999999927,0.390000000001237,0.0100000000002183,0,0.0200000000004366,0.0100000000002183,0.0500000000010914,0.1299999999992,0
"P35813",0.100000000000023,0.200000000000045,5.71000000000004,0.130000000001019,0.220000000001164,0.0299999999988358,0.219999999997526,0.200000000000728,0.170000000000073,0.0200000000004366,0.0800000000017462,0.0100000000002183,0.169999999998254,0.0100000000002183,0.00999999999839929,0.0100000000002183,0.0100000000002183,0.219999999999345,0.0499999999992724,0.0300000000024738,0.309999999999491,0.340000000000146,0.0300000000006548,0,0.0200000000004366,0.0100000000002183,0.0299999999988358,0.130000000001019,0
