#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P35609	uniprotkb:Q9Y561	intact:EBI-77797|uniprotkb:Q86TF4|uniprotkb:Q86TI8|uniprotkb:B2RCS5|uniprotkb:B1ANE4|intact:EBI-928705	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	psi-mi:actn2_human(display_long)|uniprotkb:Alpha-actinin skeletal muscle isoform 2(gene name synonym)|uniprotkb:F-actin cross-linking protein(gene name synonym)|uniprotkb:ACTN2(gene name)|psi-mi:ACTN2(display_short)	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296713	intact-miscore:0.37
uniprotkb:Q9UBF9	uniprotkb:Q9Y561	intact:EBI-296701|uniprotkb:A0A4R6|uniprotkb:B4DT79	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	psi-mi:myoti_human(display_long)|uniprotkb:MYOT(gene name)|psi-mi:MYOT(display_short)|uniprotkb:TTID(gene name synonym)|uniprotkb:Titin immunoglobulin domain protein(gene name synonym)|uniprotkb:Myofibrillar titin-like Ig domains protein(gene name synonym)|uniprotkb:57 kDa cytoskeletal protein(gene name synonym)	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296720	intact-miscore:0.37
uniprotkb:Q9Y561	uniprotkb:O95295	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	intact:EBI-296723|uniprotkb:Q5SXU8|uniprotkb:D3DV56	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:snapn_human(display_long)|uniprotkb:BLOC1S7(gene name synonym)|uniprotkb:Biogenesis of lysosome-related organelles complex 1 subunit 7(gene name synonym)|uniprotkb:SNAPIN(gene name)|psi-mi:SNAPIN(display_short)|uniprotkb:SNAP25BP(gene name synonym)|uniprotkb:SNAPAP(gene name synonym)|uniprotkb:Synaptosomal-associated protein 25-binding protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296734	intact-miscore:0.37
uniprotkb:Q9Y561	uniprotkb:P63244	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	intact:EBI-296739|uniprotkb:P25388|uniprotkb:P99049|intact:EBI-923003|uniprotkb:B3KTJ0|uniprotkb:Q53HU2|uniprotkb:Q5J8M6|uniprotkb:Q5VLR4|uniprotkb:Q6FH47|intact:EBI-2559282|uniprotkb:D3DWS0	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:rack1_human(display_long)|uniprotkb:Small ribosomal subunit protein RACK1(gene name synonym)|uniprotkb:HLC7(orf name)|uniprotkb:PIG21(orf name)|uniprotkb:RACK1(gene name)|psi-mi:RACK1(display_short)|uniprotkb:Cell proliferation-inducing gene 21 protein(gene name synonym)|uniprotkb:GNB2L1(gene name synonym)|uniprotkb:Guanine nucleotide-binding protein subunit beta-2-like 1(gene name synonym)|uniprotkb:Guanine nucleotide-binding protein subunit beta-like protein 12.3(gene name synonym)|uniprotkb:Human lung cancer oncogene 7 protein(gene name synonym)|uniprotkb:Receptor for activated C kinase(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296801	intact-miscore:0.51
uniprotkb:Q9NPI5	uniprotkb:Q9Y561	intact:EBI-514059|uniprotkb:Q52M81|uniprotkb:B7ZKR3|uniprotkb:Q9NZK3	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	psi-mi:nrk2_human(display_long)|uniprotkb:NMRK2(gene name)|psi-mi:NMRK2(display_short)|uniprotkb:ITGB1BP3(gene name synonym)|uniprotkb:Integrin beta-1-binding protein 3(gene name synonym)|uniprotkb:Muscle integrin-binding protein(gene name synonym)|uniprotkb:NRK2(gene name synonym)|uniprotkb:Nicotinic acid riboside kinase 2(gene name synonym)|uniprotkb:Ribosylnicotinamide kinase 2(gene name synonym)|uniprotkb:Ribosylnicotinic acid kinase 2(gene name synonym)	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296814	intact-miscore:0.51
uniprotkb:Q9Y561	uniprotkb:O95405	intact:EBI-296693|uniprotkb:B4DRQ2|uniprotkb:A8K137	intact:EBI-296817|uniprotkb:Q9UNE1|uniprotkb:Q9Y5R7|uniprotkb:Q5T0F6|uniprotkb:Q5T0F7	psi-mi:lrp12_human(display_long)|uniprotkb:ST7(gene name synonym)|uniprotkb:LRP12(gene name)|psi-mi:LRP12(display_short)|uniprotkb:Suppressor of tumorigenicity 7 protein(gene name synonym)	psi-mi:zfyv9_human(display_long)|uniprotkb:Mothers against decapentaplegic homolog-interacting protein(gene name synonym)|uniprotkb:Smad anchor for receptor activation(gene name synonym)|uniprotkb:Receptor activation anchor(gene name synonym)|uniprotkb:Novel serine protease(gene name synonym)|uniprotkb:ZFYVE9(gene name)|psi-mi:ZFYVE9(display_short)|uniprotkb:MADHIP(gene name synonym)|uniprotkb:SARA(gene name synonym)|uniprotkb:SMADIP(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Battle et al. (2003)	pubmed:12809483	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-296833	intact-miscore:0.51
uniprotkb:Q80TG9	uniprotkb:Q811D0	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	intact:EBI-514290|uniprotkb:Q62402|uniprotkb:Q6PGB5|uniprotkb:Q8CGN7	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:dlg1_mouse(display_long)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Embryo-dlg/synapse-associated protein 97(gene name synonym)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877086|imex:IM-19403-1	intact-miscore:0.58
uniprotkb:Q2WF71	uniprotkb:Q811D0	intact:EBI-877109|uniprotkb:Q8C1V9|uniprotkb:Q99KT6|uniprotkb:Q460M4	intact:EBI-514290|uniprotkb:Q62402|uniprotkb:Q6PGB5|uniprotkb:Q8CGN7	psi-mi:lrfn1_mouse(display_long)|uniprotkb:Lrfn1(gene name)|psi-mi:Lrfn1(display_short)|uniprotkb:Salm2(gene name synonym)|uniprotkb:Semo1(gene name synonym)|uniprotkb:Synaptic adhesion-like molecule 2(gene name synonym)|uniprotkb:Synaptic differentiation-enhancing molecule 1(gene name synonym)	psi-mi:dlg1_mouse(display_long)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Embryo-dlg/synapse-associated protein 97(gene name synonym)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877122|imex:IM-19403-2	intact-miscore:0.37
uniprotkb:Q62108	uniprotkb:Q80TG9	intact:EBI-300895|uniprotkb:Q5NCV5|uniprotkb:Q5NCV6|uniprotkb:Q5NCV7|uniprotkb:Q91WJ1	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	psi-mi:dlg4_mouse(display_long)|uniprotkb:Dlg4(gene name)|psi-mi:Dlg4(display_short)|uniprotkb:Dlgh4(gene name synonym)|uniprotkb:Psd95(gene name synonym)|uniprotkb:Postsynaptic density protein 95(gene name synonym)|uniprotkb:Synapse-associated protein 90(gene name synonym)	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877135|imex:IM-19403-3	intact-miscore:0.52
uniprotkb:Q811D0	uniprotkb:Q80TG9	intact:EBI-514290|uniprotkb:Q62402|uniprotkb:Q6PGB5|uniprotkb:Q8CGN7	intact:EBI-877092|uniprotkb:Q9CYK3|uniprotkb:B9EIF8	psi-mi:dlg1_mouse(display_long)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:Embryo-dlg/synapse-associated protein 97(gene name synonym)|uniprotkb:Dlg1(gene name)|psi-mi:Dlg1(display_short)|uniprotkb:Dlgh1(gene name synonym)	psi-mi:lrfn2_mouse(display_long)|uniprotkb:Lrfn2(gene name)|psi-mi:Lrfn2(display_short)|uniprotkb:Kiaa1246(gene name synonym)|uniprotkb:Salm1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang et al. (2006)	pubmed:16495444|imex:IM-19403	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-877148|imex:IM-19403-4	intact-miscore:0.58
