"V1","V2"
"P35609","Q9Y561"
"Q9UBF9","Q9Y561"
"Q9Y561","O95295"
"Q9Y561","P63244"
"Q9NPI5","Q9Y561"
"Q9Y561","O95405"
"Q12959","Q9NQT8"
"P04626","P00533"
"P00533","P21860"
"Q15303","P00533"
"P04626","P21860"
"Q15303","P21860"
"Q15303","P04626"
"P27986","P21860"
"P21860","P00533"
"P21860","P27986"
"P21860","Q15303"
"P27348","P49407"
"P49407","Q15208"
"P49407","O75688"
"P35813","P49407"
"Q13523","P49407"
"P49407","P11142"
"P49407","O95218"
"P49407","Q14978"
"P0DP24","P49407"
"P49407","P06702"
"P49407","Q13428"
"P19338","P49407"
"P06396","P49407"
"P49407","P14618"
"P27348","P32121"
"Q15208","P32121"
"O75688","P32121"
"P35813","P32121"
"Q13523","P32121"
"P32121","P11142"
"O95218","P32121"
"P32121","Q14978"
"P0DP24","P32121"
"P32121","P06702"
"Q13428","P32121"
"P32121","P19338"
"P06396","P32121"
"P32121","P14618"
"P04049","Q02750"
"Q04917","P04049"
"P21359","P34741"
"P34741","P21359"
"P54284","P21579"
"Q13936","Q9NZU7"
"Q9NZU7","Q13936"
"P0DP24","Q13936"
"Q01082","P02549"
"P02549","Q01082"
"P11277","P02549"
"Q13813","P11277"
"Q01082","Q13813"
"Q13813","Q01082"
"Q13033","O43815"
"O43815","Q13033"
"Q9P2B4","O43815"
"Q9P289","Q5VSL9"
"Q9P2B4","Q9P289"
"O43815","P67775"
"Q9Y3A3","O43815"
"O43815","Q9Y6E0"
"O43815","O00506"
"O43815","Q9BUL8"
"O43815","Q9P2B4"
"O43815","P30153"
"Q9P2B4","Q9Y3A3"
"Q9P2B4","Q13033"
"Q9P2B4","Q5VSL9"
"Q9Y6E0","Q9P2B4"
"Q9UL25","P05556"
"P20339","P05556"
"P21860","P04626"
"Q9P0V3","Q9ULV3"
"P25786","Q9P0V3"
"Q9P0V3","Q8N5S3"
"Q9P0V3","Q9NV56"
"Q9P0V3","Q99549"
"P11021","Q9P0V3"
"Q9P0V3","Q5VSY0"
"Q9UMS0","Q9P0V3"
"O43396","Q9P0V3"
"Q9P0V3","Q99614"
"Q9P0V3","Q5TC79"
"Q5JTW2","Q9P0V3"
"Q9HB21","Q9P0V3"
"Q9P0V3","Q8WW22"
"P17987","Q9P0V3"
"P49368","Q9P0V3"
"Q02790","Q9P0V3"
"O14556","Q9P0V3"
"Q9P0V3","Q9BWN1"
"Q68DK7","P46109"
"Q9NZM3","Q9BYJ9"
"P46109","Q9HB21"
"Q9NQY0","Q6XZF7"
"Q6XZF7","Q68EM7"
"P62993","Q9UKW4"
"O60566","Q6XZF7"
"Q99469","P02545"
"P52735","P22674"
"O43432","P52735"
"Q58F21","P52735"
"P50502","P52735"
"Q7Z6E9","P52735"
"Q96JH7","P52735"
"P52735","O75674"
"P52735","Q8NFC6"
"P52735","Q8ND90"
"P52735","P49354"
"P52735","Q9BXP5"
"Q8WWU5","P52735"
"P52735","Q9H992"
"Q92598","P52735"
"Q8NB14","P52735"
"Q7L1Q6","P52735"
"P52735","Q8NC51"
"O95155","P52735"
"P52735","Q14C86"
"Q7Z3K3","P52735"
"Q9NV56","P52735"
"P52735","Q12874"
"Q15633","P52735"
"Q13573","P52735"
"P52735","Q8TEX9"
"P52735","P04066"
"Q9Y3E7","P52735"
"O14513","P52735"
"Q13503","P52735"
"Q5SW79","P52735"
"P54725","P52735"
"Q5F1R6","P52735"
"P52597","P52735"
"P52735","Q8WZ42"
"Q92564","P52735"
"P49368","P52735"
"Q9Y6E0","P52735"
"P52735","O75688"
"Q8WUB8","P52735"
"Q9Y4X5","P52735"
"P78362","P52735"
"P52735","Q9NR09"
"O75575","P52735"
"P78371","P52735"
"P22736","Q9Y5K6"
"Q9Y5K6","P49116"
"Q9Y5K6","O60381"
"Q9Y5K6","O43248"
"P46109","P28799"
"P46109","O15162"
"P46109","O15230"
"P46109","Q04721"
"O75095","P46109"
"Q9BU70","Q99469"
"Q99469","Q15654"
"Q9NZQ3","Q99469"
"Q99469","Q9UGP4"
"O75674","P52735"
"Q9ULV3","Q9P0V3"
"Q9P0V3","Q9HB21"
"Q9H269","Q7L1V2"
"Q7L1V2","Q9P253"
"Q7L1V2","Q96AX1"
"P49754","Q7L1V2"
"Q86VX9","Q96AX1"
"Q9H270","Q7L1V2"
"Q9H9C1","Q9H267"
"Q9H267","Q9H9C1"
"Q96AX1","Q9H9C1"
"Q9H9C1","P49754"
"Q9BSJ6","P04156"
"Q9H4B4","P04156"
"P29372","P04156"
"P04156","P49639"
"P49639","P04156"
"P04156","Q9BSJ6"
"Q9UIF8","P04156"
"P07498","P04156"
"Q9BRJ6","P04156"
"Q15527","P04156"
"Q9BWG6","P04156"
"P04156","Q8TAI1"
"P04156","Q9NW64"
"Q6ZUS6","P04156"
"P04156","Q969D9"
"P04156","Q9H0S4"
"Q15776","P04156"
"Q96L34","P04156"
"P04156","Q9H9D4"
"P62380","P04156"
"Q9ULW3","P04156"
"P62945","P04156"
"Q8NDX6","P04156"
"P04156","Q13642"
"Q9P013","P04156"
"P04156","Q96Q45"
"P46695","P04156"
"P04156","Q96A73"
"P04156","Q5VU43"
"P04156","Q86Y79"
"P04156","Q9BT17"
"Q53QZ3","P04156"
"Q969X6","P04156"
"Q9UL18","P04156"
"P61964","P04156"
"Q9NPF8","P04156"
"Q96A00","P04156"
"Q9HCC9","P04156"
"Q14011","P04156"
"P04156","Q9NX24"
"Q9BRP8","P04156"
"P04156","Q08E93"
"P04156","Q8ND30"
"P04156","P09543"
"Q92913","P04156"
"P04156","Q96NN9"
"P04156","Q96LT9"
